,country,year,sex,Preventable mortality,Treatable mortality,potential years of life lost,median age,Bad Very Bad,Very Good Good,high bmi,smoking,binge drinking,Practising medical doctors per 100k,GDP per capita,Practising nurses and midwives per 100k,avoidable hospitalizations,HC1,HC2,HC3,HC4,HC5,HC6,HC7,year_y,y_QU1,y_QU2,y_QU3,y_QU4,y_QU5,Year_system_date,single payer system,inpatient public,outpatient public,public primary care,free hospital choice,almost free hospital choice,public provider quality reports,healthcare regulator,ce analysis
0,Austria,2011,F,95.29,67.41,2381.0,43.2,10.4,66.8,0.113,0.083,0.129,484.22,36970.0,685.67,,1965.68,229.89,542.67,115.73,632.45,75.8,143.13,2015.0,16497.2,27961.0,36682.2,48215.5,74495.5,2016,0.0,1.0,0.0,0.0,1,False,0,1,1
1,Austria,2011,M,248.5,96.86,4608.0,40.9,8.4,70.8,0.146,0.141,0.249,484.22,36970.0,685.67,,1965.68,229.89,542.67,115.73,632.45,75.8,143.13,2015.0,16497.2,27961.0,36682.2,48215.5,74495.5,2016,0.0,1.0,0.0,0.0,1,False,0,1,1
2,Austria,2012,F,96.16,69.72,2326.0,43.5,9.6,68.5,0.113,0.083,0.129,489.54,37820.0,688.73,287.9,2047.37,244.58,564.93,121.0,648.89,76.02,152.48,2015.0,16497.2,27961.0,36682.2,48215.5,74495.5,2016,0.0,1.0,0.0,0.0,1,False,0,1,1
3,Austria,2012,M,252.28,91.45,4390.0,41.2,8.4,71.7,0.146,0.141,0.249,489.54,37820.0,688.73,287.9,2047.37,244.58,564.93,121.0,648.89,76.02,152.48,2015.0,16497.2,27961.0,36682.2,48215.5,74495.5,2016,0.0,1.0,0.0,0.0,1,False,0,1,1
4,Austria,2013,F,93.22,66.84,2245.0,43.8,9.8,66.7,0.113,0.083,0.129,498.85,38210.0,693.59,278.3,2063.98,256.8,587.97,123.03,657.19,80.64,159.31,2015.0,16497.2,27961.0,36682.2,48215.5,74495.5,2016,0.0,1.0,0.0,0.0,1,False,0,1,1
5,Austria,2013,M,245.9,92.05,4277.0,41.4,8.2,70.7,0.146,0.141,0.249,498.85,38210.0,693.59,278.3,2063.98,256.8,587.97,123.03,657.19,80.64,159.31,2015.0,16497.2,27961.0,36682.2,48215.5,74495.5,2016,0.0,1.0,0.0,0.0,1,False,0,1,1
6,Austria,2014,F,93.95,66.7,2302.0,44.1,10.0,67.4,0.113,0.083,0.129,504.61,38990.0,703.69,268.1,2114.23,268.02,598.49,123.3,687.98,85.03,164.54,2015.0,16497.2,27961.0,36682.2,48215.5,74495.5,2016,0.0,1.0,0.0,0.0,1,False,0,1,1
7,Austria,2014,M,238.63,90.11,4089.0,41.6,7.7,71.9,0.146,0.141,0.249,504.61,38990.0,703.69,268.1,2114.23,268.02,598.49,123.3,687.98,85.03,164.54,2015.0,16497.2,27961.0,36682.2,48215.5,74495.5,2016,0.0,1.0,0.0,0.0,1,False,0,1,1
8,Austria,2015,F,97.52,66.85,2187.0,44.3,9.3,68.0,0.113,0.083,0.129,509.12,39890.0,704.31,264.5,2150.94,271.72,613.48,125.19,710.34,90.35,167.76,2015.0,16497.2,27961.0,36682.2,48215.5,74495.5,2016,0.0,1.0,0.0,0.0,1,False,0,1,1
9,Austria,2015,M,242.3,92.66,4061.0,41.7,8.3,71.9,0.146,0.141,0.249,509.12,39890.0,704.31,264.5,2150.94,271.72,613.48,125.19,710.34,90.35,167.76,2015.0,16497.2,27961.0,36682.2,48215.5,74495.5,2016,0.0,1.0,0.0,0.0,1,False,0,1,1
10,Austria,2016,F,96.39,66.58,2161.0,44.3,8.6,68.6,0.113,0.083,0.129,512.96,40920.0,702.68,249.3,2220.2,278.09,633.75,127.94,713.79,90.67,172.93,2015.0,16497.2,27961.0,36682.2,48215.5,74495.5,2016,0.0,1.0,0.0,0.0,1,False,0,1,1
11,Austria,2016,M,231.4,90.42,3839.0,41.5,7.6,72.0,0.146,0.141,0.249,512.96,40920.0,702.68,249.3,2220.2,278.09,633.75,127.94,713.79,90.67,172.93,2015.0,16497.2,27961.0,36682.2,48215.5,74495.5,2016,0.0,1.0,0.0,0.0,1,False,0,1,1
12,Austria,2017,F,92.94,65.48,2079.0,44.5,9.0,68.8,0.113,0.083,0.129,518.28,41990.0,710.79,247.5,2287.94,291.01,645.54,129.77,735.89,94.49,174.21,2015.0,16497.2,27961.0,36682.2,48215.5,74495.5,2016,0.0,1.0,0.0,0.0,1,False,0,1,1
13,Austria,2017,M,226.52,88.21,3759.0,41.5,7.0,72.0,0.146,0.141,0.249,518.28,41990.0,710.79,247.5,2287.94,291.01,645.54,129.77,735.89,94.49,174.21,2015.0,16497.2,27961.0,36682.2,48215.5,74495.5,2016,0.0,1.0,0.0,0.0,1,False,0,1,1
14,Belgium,2011,F,101.35,78.98,2783.0,42.0,10.5,71.7,0.129,0.063,0.162,291.55,34060.0,1036.72,,1559.89,261.54,742.17,177.07,610.05,58.52,130.37,2015.0,15759.0,23305.9,33245.0,44850.4,68273.3,2016,0.0,0.0,0.0,0.0,1,False,0,1,1
15,Belgium,2011,M,248.21,86.28,4791.0,39.7,8.5,75.5,0.126,0.08900000000000001,0.272,291.55,34060.0,1036.72,,1559.89,261.54,742.17,177.07,610.05,58.52,130.37,2015.0,15759.0,23305.9,33245.0,44850.4,68273.3,2016,0.0,0.0,0.0,0.0,1,False,0,1,1
16,Belgium,2012,F,99.97,77.35,2677.0,42.1,9.9,72.2,0.129,0.063,0.162,293.36,34770.0,1060.54,185.7,1612.84,279.0,779.63,195.95,600.66,59.47,125.55,2015.0,15759.0,23305.9,33245.0,44850.4,68273.3,2016,0.0,0.0,0.0,0.0,1,False,0,1,1
17,Belgium,2012,M,246.27,87.46,4798.0,39.9,7.7,76.9,0.126,0.08900000000000001,0.272,293.36,34770.0,1060.54,185.7,1612.84,279.0,779.63,195.95,600.66,59.47,125.55,2015.0,15759.0,23305.9,33245.0,44850.4,68273.3,2016,0.0,0.0,0.0,0.0,1,False,0,1,1
18,Belgium,2013,F,100.34,76.24,2700.0,42.3,9.9,71.9,0.129,0.063,0.162,295.71,35210.0,1090.29,226.6,1636.66,289.49,804.23,189.19,607.42,63.78,127.54,2015.0,15759.0,23305.9,33245.0,44850.4,68273.3,2016,0.0,0.0,0.0,0.0,1,False,0,1,1
